Sr.No.,School Name,City,2022 Student Enrollments,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,AP Classes?,Dual Enrollment?,Offers Sports?
69,Holy Cross Lutheran School,PHOENIX,0.0,0.3063081893117098,0.045768025078369905,0.1590909090909091,0.0,0.0,0.7391304347826086,0.1971830985915493,0.020833333333333332,1,1,1
70,Hope High School,PHOENIX,0.007642139799143759,0.7157712924537155,0.19686520376175548,0.05681818181818182,0.5714285714285714,0.058823529411764705,0.7608695652173912,0.0,0.020833333333333332,1,1,1
71,Basis Phoenix,PHOENIX,0.03004841355579562,0.3204161935727408,0.09655172413793105,0.6477272727272727,0.05714285714285714,0.0,0.03260869565217391,0.47887323943661975,0.020833333333333332,1,1,1
72,Bourgade Catholic High School,PHOENIX,0.015324290801424398,0.06465172922759795,0.007523510971786834,0.3181818181818182,0.05714285714285714,0.0,0.5543478260869564,0.08450704225352113,0.20833333333333331,1,1,1
73,Brophy College Preparatory,PHOENIX,0.0553755051414396,0.0034618808344458385,0.0006269592476489029,0.6818181818181819,0.08571428571428572,0.058823529411764705,0.16304347826086954,0.09859154929577466,0.22916666666666666,1,1,1
74,Redeemer Christian School,MESSA,0.002600728203897091,0.1973331651957107,0.02570532915360502,0.7272727272727273,0.0,0.0,0.10869565217391303,0.29577464788732394,0.041666666666666664,1,1,1
75,Rhodes Junior High School,MESSA,0.0378505981674869,0.019183410509495062,0.006269592476489029,0.29545454545454547,0.17142857142857143,0.3529411764705882,0.5978260869565217,0.028169014084507043,0.041666666666666664,1,1,1
76,Ville De Marie Academy,SCOTTSDALE,0.004081142719961589,0.16605559563166541,0.021943573667711602,0.9659090909090909,0.0,0.058823529411764705,0.07608695652173914,0.056338028169014086,0.0,1,1,1
77,Desert Marigold School,PHOENIX,0.012763573800664185,0.5849516165787007,0.15862068965517243,0.8181818181818182,0.08571428571428572,0.11764705882352941,0.11956521739130435,0.028169014084507043,0.14583333333333331,0,0,1
78,Durango Transitional Learning Center,PHOENIX,0.0030008402352658743,0.8770410889625099,0.2677115987460815,0.2272727272727273,1.0,0.058823529411764705,0.40217391304347827,0.014084507042253521,0.0625,0,0,0
79,South ridge high school,PHOENIX,0.017524906973952706,0.21301332242424664,0.7667711598746082,0.07954545454545454,0.3142857142857143,0.058823529411764705,0.8152173913043478,0.028169014084507043,0.020833333333333332,1,1,1
80,Phoenix Country Day School,PARADISE VALLEY,0.02960829032128996,0.02319653782128394,0.003761755485893417,0.7954545454545455,0.08571428571428572,0.058823529411764705,0.03260869565217391,0.14084507042253522,0.1875,1,1,1
81,Dobson High School,MESA,0.10530948665626375,0.02059007369094683,0.011912225705329155,0.4318181818181818,0.22857142857142856,0.29411764705882354,0.4565217391304348,0.04225352112676056,0.020833333333333332,1,1,1
82,Basis Mesa,MESA,0.03973112471492018,0.000772671811082156,0.0012539184952978055,0.8522727272727273,0.14285714285714285,0.0,0.13043478260869565,0.07042253521126761,0.0,1,1,1
83,Arizona Agribusiness & Equine Center Inc. - Red Mountain,MESA,0.004321209938782859,0.25972281453774815,0.0658307210031348,0.7704545454545454,0.14857142857142858,0.07058823529411765,0.2228260869565217,0.023943661971830985,0.024999999999999998,1,1,0
84,Asu Preparatory Academy-polytechnic High School,MESA,0.01668467170807826,0.30121937839057544,0.07711598746081506,0.42386363636363633,0.16857142857142857,0.11176470588235293,0.44891304347826083,0.07042253521126761,0.1125,0,1,1
85,Carson Junior High School,MESA,0.04473252510702997,0.2525653812909494,0.27899686520376177,0.19886363636363638,0.18571428571428572,0.8470588235294118,0.5978260869565217,0.005633802816901409,0.06666666666666667,0,1,1
86,Desert Ridge High School,MESA,0.09574680910654983,0.28992470049244795,0.07648902821316615,0.6840909090909092,0.08857142857142856,0.08823529411764705,0.27065217391304347,0.04366197183098592,0.0875,1,1,1
87,Northwest Christian School,PHOENIX,0.05785619973592606,0.003130901262339539,0.0,0.9431818181818182,0.02857142857142857,0.058823529411764705,0.06521739130434781,0.028169014084507043,0.08333333333333333,1,1,1
88,Kino Junior High School,MESA,0.04129156163725843,0.0730503358697953,0.2921630094043888,0.14772727272727273,0.08571428571428572,0.4117647058823529,0.7934782608695652,0.0,0.0,1,0,1
89,Genesis Acedemy,PHOENIX ,0.004481254751330372,0.5723743928386612,0.1561128526645768,0.03409090909090909,0.14285714285714285,0.1764705882352941,0.9239130434782609,0.0,0.020833333333333332,1,1,1
90,Girls Leadership Academy Of Arizona ,PHOENIX ,0.00452126595446725,0.5485024912004944,0.14796238244514107,0.05681818181818182,0.42857142857142855,0.11764705882352941,0.7934782608695652,0.028169014084507043,0.020833333333333332,1,1,1
91,Glenview College Preparatory High School,PHOENIX ,0.007442083783459368,0.3789995778355558,0.10031347962382446,0.13636363636363635,0.2857142857142857,0.058823529411764705,0.7717391304347826,0.014084507042253521,0.041666666666666664,1,1,1
92,Great Hearts Academies- Archway Veritas,PHOENIX ,0.021165926459408634,0.21926056184775305,0.08526645768025079,0.875,0.02857142857142857,0.0,0.07608695652173914,0.056338028169014086,0.14583333333333331,1,1,1
93,Desert Hills High School,GILBERT,0.007522106189733125,0.7194120677468847,0.1993730407523511,0.42045454545454547,0.3142857142857143,1.0,0.30434782608695654,0.0,0.08333333333333333,1,0,1
94,Eduprize School Gilbert,GILBERT,0.07322050174048733,0.08517246269818851,0.0445141065830721,0.8068181818181819,0.08571428571428572,0.058823529411764705,0.15217391304347824,0.056338028169014086,0.0625,0,1,1
95,Canyon State Academy,QUEEN CREEK,0.01360380906653863,0.7194120677468847,0.1993730407523511,0.42045454545454547,0.3142857142857143,1.0,0.30434782608695654,0.0,0.08333333333333333,1,0,1
96,Dr. Camille Casteel High School,QUEEN CREEK,0.036010082823190494,0.7194120677468847,0.1993730407523511,0.42045454545454547,0.3142857142857143,1.0,0.30434782608695654,0.0,0.08333333333333333,1,0,1
97,Horizon High School,SCOTTSDALE,0.08942503901092305,0.041731393859236715,0.021943573667711602,0.875,0.05714285714285714,0.058823529411764705,0.09782608695652173,0.056338028169014086,0.08333333333333333,1,1,1
98,The Aces-Tempe,TEMPE,0.004721321970151642,0.15310601987300645,0.01880877742946709,0.2272727272727273,0.22857142857142856,0.23529411764705882,0.14130434782608695,0.056338028169014086,1.0,0,0,0
99,Basis Chandler,CHANDLER,0.02840795422718361,0.0011036513831884556,0.003134796238244514,0.25,0.22857142857142856,0.058823529411764705,0.0,1.0,0.041666666666666664,1,1,1
100,"Great Hearts Academies - Scottsdale
",SCOTTSDALE,0.03516984755731605,0.2779680634501079,0.0865203761755486,0.875,0.02857142857142857,0.0,0.05434782608695652,0.1267605633802817,0.08333333333333333,1,1,1
101,Thunderbird High School,PHOENIX,0.06097707358060257,0.13299901086754876,0.06269592476489029,0.5795454545454546,0.19999999999999998,0.1764705882352941,0.358695652173913,0.04225352112676056,0.020833333333333332,1,1,1
102,Trevor Browne High School,PHOENIX,0.12139399031728883,0.010122844723085113,0.007523510971786834,0.03409090909090909,0.11428571428571428,0.058823529411764705,0.9565217391304347,0.014084507042253521,0.020833333333333332,1,1,1
103,Tumbleweed Transitional Learning Center,PHOENIX,0.0021606049693914295,0.9153106019873007,0.28902821316614424,0.022727272727272728,0.3142857142857143,0.0,0.9130434782608695,0.0,0.0,0,0,0
