Sr.No.,School Name,City,2022 Student Enrollments,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,AP Classes?,Dual Enrollment?,Offers Sports?,Cluster
37,Gilbert Christian Schools,GILBERT,0.0303685031808906,0.0289473078866308,0.0043887147335423,0.9659090909090908,0.3428571428571428,0.0588235294117647,0.4891304347826087,0.4084507042253521,0.125,1,1,1,1
38,Gilbert Classical Academy High School,GILBERT,0.0114031928940103,0.0018069829739143,0.0037617554858934,0.7159090909090909,0.1714285714285714,0.0588235294117647,0.4347826086956521,0.7464788732394366,0.0625,1,1,1,1
39,Vista Peak,PHOENIX,0.002280638578802,0.9153106019873009,0.8275862068965518,0.7272727272727273,0.4571428571428571,0.1176470588235294,0.1304347826086956,0.0,0.0625,1,1,1,0
40,Vista Verde Middle School,PHOENIX,0.025967270835834,0.0516194085759124,0.2394984326018809,0.0454545454545454,0.9142857142857144,0.1764705882352941,0.5760869565217391,0.028169014084507,0.0416666666666666,1,0,1,2
41,Washington High School,PHOENIX,0.0735405913655823,0.1476034844867392,0.0344827586206896,0.1931818181818181,0.3714285714285714,0.1764705882352941,0.6195652173913043,0.0845070422535211,0.0208333333333333,1,1,1,2
42,West Phoenix High School,PHOENIX,0.0183251310366902,0.5089090598872783,1.0,0.0227272727272727,0.1428571428571428,0.0588235294117647,0.9456521739130436,0.0,0.0208333333333333,1,1,1,0
43,Notre Dame Preparatory,SCOTTSDALE,0.0356499819949585,0.0147979311790865,0.0018808777429467,1.0,0.0285714285714285,0.0,0.0,0.0422535211267605,0.0,1,1,1,1
44,Mountain Pointe High School,PHOENIX,0.1050694194374424,0.0207969359235132,0.012539184952978,0.3977272727272727,0.6285714285714286,0.1764705882352941,0.2934782608695652,0.0422535211267605,0.0208333333333333,1,1,1,2
45,Pvonline,PHOENIX,0.0162845596767094,0.5099019986035972,0.2827586206896552,0.5681818181818182,0.2068571428571428,0.0847058823529411,0.3139130434782609,0.0509859154929577,0.120625,1,1,0,1
46,Mesa High School,MESA,0.1389589084943784,0.329228524680071,0.0865203761755486,0.3295454545454545,0.1142857142857142,0.1176470588235294,0.6413043478260869,0.0140845070422535,0.0416666666666666,1,1,1,2
47,Mountain View High School,MESA,0.1334773736646261,0.1568709125057156,0.0620689655172413,0.75,0.0857142857142857,0.2352941176470588,0.2282608695652173,0.028169014084507,0.0208333333333333,1,1,1,1
48,Tolleson Union High School,TOLLESON,0.0819029328211899,0.4087049944320962,0.0802507836990595,0.046590909090909,0.2714285714285714,0.0588235294117647,0.8630434782608696,0.0154929577464788,0.03125,1,0,1,2
49,University High School,TOLLESON,0.0159244588484775,0.0009795340436485,0.0025078369905956,0.1147727272727272,0.2685714285714285,0.0117647058823529,0.6576086956521738,0.1985915492957746,0.0520833333333333,1,1,1,2
50,West-Mec- Sierra Linda High School,TOLLESON,0.0743408154283199,0.5484611187539811,0.1009404388714733,0.0375,0.2257142857142857,0.0529411764705882,0.892391304347826,0.0126760563380281,0.0270833333333333,1,0,1,2
51,Betty Fairfax High School ,LAVEEN,0.0736206137718561,0.3927766025244805,0.1034482758620689,0.1022727272727272,0.7714285714285714,0.2352941176470588,0.5434782608695652,0.0422535211267605,0.0833333333333333,1,1,1,2
