School Name,City,Zip Code,2022 Student Enrollments,AP Classes?,Dual Enrollment?,Offers Electives?,Offers Sports?,Sports Rank,Teaching/Educational Method,Mental Health Services?,Math Score,English Score,National Rank,AZ Rank,Student-Teacher Ratio,Suicide Data,Crime-related Data,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,Lunch%-Free,Lunch%-Reduced,Lunch%-Paid,
Ville De Marie Academy,Scottsdale,85257,109,Yes,Yes,N/A,Yes,N/A,N/A,Yes,N/A,N/A,4017,36,10:01,N/A,N/A,85,0,1,10,4,0,N/A,N/A,N/A,
Highland Jr High School,Mesa,85212,"1,232",Yes,Yes,Yes,No,N/A,Traditional/virtual classrooms,Yes,52%,55%,N/A,131,21.2:1,Yes,No,927,32,9,212,34,13,3,0,"1,229",
Imagine East Mesa Middle School,Mesa,85208,133,No,No,N/A,Yes,N/A,Traditional,Yes,40.49,42.31,Unranked,233,26:01:00,N/A,Yes,76,8,0,40,4,2,52,12,69,
Kino Junior High School,Mesa,85203,1039,Yes,N/A,N/A,N/A,N/A,Traditional/virtual classrooms,Yes,5%,43.16,Unranked,803,9.3:1,N/A,N/A,131,34,0,791,4,2,108,64,867,
Learning Foundation,Mesa,85203,208,No,No,Yes,Yes,N/A,Traditional,Yes,12%,17%,Unranked,929,#VALUE!,Yes,Yes,62,10,5,105,3,0,149,21,38,
Legacy Elementary School,Mesa,85207,163,N/A,Yes,Yes,Yes,N/A,Traditional/virtual classrooms,No,52%,61%,Unkown,573,35:01:00,N/A,N/A,80,8,1,70,1,0,92,8,63,
Vision Christian Academy,Glendale,85307,32,Yes,Yes,N/A,Yes,N/A,Traditional ,N/A,N/A,N/A,Unranked,Can't Find,6:01,N/A,N/A,68,0,3,29,0,0,100,0,0,
West-Mec - Apollo High School,Glendale,85302,2024,Yes,Yes,Yes,Yes,N/A,Traditional ,Yes,68%,N/A,"5,256",Can't Find,#VALUE!,N/A,N/A,0,50,0,50,0,0,N/A,36,64,
West-Mec - Cactus High School,Glendale,85306,9,Yes,Yes,N/A,Yes,N/A,N/A,Yes,N/A,N/A,"7,964",Can't Find,#VALUE!,N/A,N/A,56,0,0,44,0,0,N/A,26,74,
West-Mec - Central Campus,Glendale,85308,223,Yes,Yes,Yes,Yes,N/A,Traditional ,Yes,68%,57%,Unranked,Can't Find,10.8:1,N/A,N/A,42,4,1,50,1,2,N/A,N/A,N/A,
West-Mec - Copper Canyon High School,Glendale,85305,6,Yes,Yes,Yes,Yes,N/A,Traditional ,Yes,N/A,N/A,"8,840",Can't Find,#VALUE!,N/A,N/A,0,17,0,83,0,0,N/A,100,0,
Desert Marigold School,Phoenix,85042,326,NO,NO,NO,YES,NA,waldorf educatiion method,YES,34%,47%,14142,254,18:01,NO,NO,72,3,2,14,2,7,4,2,94,
Desert Valleys Region,Phoenix,85021,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,Can't find,
Desert Vista High School,Phoenix,85048,"3,046",YES,YES,YES,YES,NA,project based approach,NO,49%,55%,2801,44,24:01:00,1,NO,54.6,7,2,16,9,11.4,0,0,100,
Desert Voices Oral Learning Center,Phoenix,85028,24,NO,NO,NO,NO,NA,Language focused,NO,14%,15%,unranked,unranked,5:01,NO,NO,92,0,0,8,0,0,0,0,100,
Durango Transitional Learning Center,Phoenix,85009,82,NO,NO,NO,NO,NA,creative and interactive approach,NO,19%,17%,21202,428,16.4:1,NO,NO,20,35,1,40,1,3,96,0,4,
Pinnacle High School - Tempe,Phoenix,85282,100,Yes,Yes,Yes,Yes,NA,Common Core State Standards,Yes,69,66,"20,470",410,1:01,NA,NA,12,30,7,48,0,3,NA,NA,NA,
Pinnacle Virtual High School,Phoenix,85282,330,Yes,Yes,Yes,Yes,NA,Online virtual learning,Yes,8,12,"14,054",252,1:01,NA,NA,33,11,7,46,0,2,NA,NA,NA,
Student Choice High School,Phoenix,85281,118,NA,NA,Yes,Yes,NA,standards-based online curriculum and participate in a self-paced,Yes,50,50,"19,758",386,1:01,NA,NA,28,6,7,57,0,3,0,3,97,
Tapbi,Phoenix,85283,NA,Yes,No,Yes,Yes,NA,Internet- based learning,Yes,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Tempe High School,Phoenix,85281,"1,668",Yes,Yes,Yes,Yes,NA,equitable and challenging learning experiences,Yes,50,50,"2,694",95,20.5:1,NA,NA,9,13,4,69,1,3,1,0,98,
South Pointe High School,Phoenix,85042,482,No,No,No,Yes,None,increasing college readiness,Yes,20,19,Unranked,1834,#VALUE!,None,None,3,25,0,66,0,6,0,99,1,
South ridge high school,Phoenix,85043,445,Yes,Yes,Yes,Yes,None,None,Yes,54,50,5152,1224,22:01,None,None,7,11,1,78,2,1,67,14,19,
Southwest Key Transitional Learning Center,pheonix,85017,368,No,No,No,No,None,None,No,30,30,Unranked,Unranked,36.8:1,None,None,0,0,0,100,0,0,93,0,7,
southwest leadership academy,pheonix,85043,368,None,No,Yes,Yes,None,quality education service,No,30,30,Unranked,1259,17:01,None,None,7,7,2,83,0,1,50,0,50,
st marys high school,pheonix,85004,543,Yes,Yes,Yes,Yes,None,traditional academic curriculam,Yes,22,22,1040,Unranked,14:01,None,None,13,6,1,69,4,7,0,0,100,
Gilbert Global Academy Junior High School,"Gibert,AZ",85296,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert High School,"Gibert,AZ",85234,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert Junior High School,"Gibert,AZ",85234,,,,,,,,,,,,,,,,,,,,,,,,,
Great Hearts Academies-Arete Prep,"Gibert,AZ",85234,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield Junior High School,"Gibert,AZ",85296,,,,,,,,,,,,,,,,,,,,,,,,,
Westwood High School,Mesa,85201,"3,145",Yes,Yes,No,Yes,91,group teaching model,Yes,NA,NA,201,10,21.7:1,NA,NA,28,6,10,52,2,1,64,28,8,
Phoenix Country Day School,Paradise Valley,85253,747,Yes,Yes,Yes,Yes,NA,small classrooms led by experts,Yes,NA,NA,564,7,9:01,NA,NA,70,3,1,6,10,9,NA,NA,NA,
Aurora Day School,Peoria,85381,74,NA,Yes,No,Yes,NA,NA,Yes,NA,NA,NA,NA,8:01,NA,No,59.5,9.5,4.1,9.5,2.7,14.9,NA,NA,NA,
Basis Peoria,Peoria,85383,744,Yes,No,Yes,Yes,NA,co-teaching model,Yes,98,98,NA,NA,NA,NA,NA,42,4,0,4,48,2,NA,NA,NA,
Centennial High School,Peoria,85381,"2,045",Yes,Yes,Yes,Yes,19,Data Driven,Yes,NA,NA,"1,467",48,22.5:1,NA,NA,56,5,1,31,3,4,27,7,66,
Desert Ridge Junior High School,Mesa,85209,1305,Yes,Yes,Yes ,Yes ,NA,NA,Yes,NA,NA,NA,NA,22.3:1,NA,NA,68,4,1,22,3,2,NA,NA,99,
Dobson High School,Mesa,85202,2639,Yes,Yes,Yes ,Yes,NA,Virtual,Yes,NA,NA,501,20,21.8:1,NA,NA,38,8,5,45,3,1,48,9,43,
Eaglerich Enrichment Program,Mesa,85210,750,Yes,Yes,NA,NA,NA,Traditional,Yes,NA,NA,NA,NA,#VALUE!,NA,NA,81,2,2,13,1,1,15,2,83,
East Valley academy,Mesa,85201,335,NA,NA,Yes ,Yes,NA,Traditional,Yes,NA,NA,13951,251,20.3:1,NA,NA,16,5,6,71,1,1,62,5,33,
East Valley HIgh School,Mesa,85207,148,NA,NA,NA,Yes,NA,Traditional,Yes,NA,NA,18739,350,#VALUE!,NA,NA,54,3,1,38,0,0,32,4,64,
Heritage Academy Queen Creek,"Queen Creek, AZ",85242,475,Yes,No,Yes,Yes,1,Christian Education Approach,Yes,85%,88%,NA,1,12:01,NA,NA,85%,4%,0%,7%,2%,2%,0%,0%,100%,
Basis Mesa,"Mesa, AZ",85212,1000,Yes,Yes,Yes,Yes,7,Rigorous academic curriculum,Yes,94%,95%,22,3,7:01,NA,NA,75%,5%,0%,15%,5%,0%,2%,5%,93%,
Queen Creek High School,"Queen Creek, AZ",85142,2025,Yes,Yes,Yes,Yes,12,preparatory curriculum,Yes,85%,87%,NA,12,17:01,NA,NA,80%,3%,0%,13%,3%,1%,18%,11%,71%,
Queen Creek Virtual Academy,"Queen Creek, AZ",85142,1200,Yes,No,Yes,No,NA,Personalized learning approach,Yes,88%,90%,NA,NA,10:01,NA,NA,80%,3%,0%,13%,3%,1%,18%,11%,71%,
Basis Scottsdale,"Scottsdale, AZ",85259,1150,Yes,Yes,Yes,Yes,4,Rigorous academic curriculum,Yes,95%,96%,11,1,7:01,NA,NA,75%,5%,0%,15%,5%,0%,2%,5%,93%,
Tri-City Christian Academy,"Chandler, AZ",85286,276,NA,Yes,Yes,Yes,NA,academically advanced,NA,NA,NA,"2,249",21,15:01,NA,NA,63%,8%,1%,8%,14%,5%,NA,NA,NA,
Valley Christian High School,"Chandler, AZ",85226,388,Yes,Yes,Yes,Yes,NA,technologically-advanced STEM program,NA,NA,NA,"1,576",15,12:01,NA,NA,82%,5%,1%,8%,2%,1%,NA,NA,NA,
Willis Junior High School,"Chandler, AZ",85225,873,Yes,Yes,Yes,Yes,821,academically advanced,NA,49.28,42.31,Unranked,Unknown,16.2:1,NA,NA,29%,7%,2%,55%,4%,0%,23.90%,23.90%,60.10%,
Dysart High School,"El Mirage, AZ",85335,"1,557",Yes,Yes,Yes,Yes,NA,academically advanced,Yes,<50%,70.26,"3,122",99,23.8:1,NA,NA,30%,9%,2%,54%,2%,1%,NA,NA,NA,
West-Mec - Dysart High School,"El Mirage, AZ",85335,1,Yes,Yes,Yes,Yes,508,Sports,Yes,55-59%,70.26,"25,948",630,#VALUE!,suicide awareness training,NA,100%,0%,0%,0%,0%,0%,21.60%,NA,NA,
Arizona Agribusiness & Equine Center Inc. - Red Mountain,"Mesa, Arizona",85215,115,Yes,Yes,Yes,No,NA,"Arizona General Education
Curriculum",No,42%,53%,6281,106,6:01,NA,NA,67.80%,5.20%,1.20%,23.50%,1.70%,1.20%,25%,18%,57%,
Asu Preparatory Academy-polytechnic High School,"Mesa, Arizona",85212,424,No,Yes,Yes,Yes,NA,Cambridge Curriculum,Yes,66%,77%,7284,124,15:01,NA,NA,37.30%,5.90%,1.90%,44.30%,5%,5.40%,1%,1%,NA,
